hotel,fooditems
bollywood-nayapalli-bhubaneshwar,"['chicken', 'mutton', 'garam masala']"
la-brise-candolim,"['chicken', 'chicken wings']"
mr-brown-mall-road,"['cake', 'tikka', 'sandwich', 'paneer']"
145-kala-ghoda-fort,"['chicken', 'chicken teriyaki', 'cookie']"
barbeque-nation-sector-26,"['moong dal', 'tikka', 'mutton', 'kebab', 'chicken curry', 'allo', 'fish', 'biryani', 'cake', 'fish curry', 'chicken']"
barbq-park-street-area,"['kebab', 'fish', 'mughlai', 'curd', 'chopseuy', 'chicken', 'lamb', 'allo', 'pepper chicken', 'biryani', 'vegetable rice', 'kebabs', 'tikka', 'gravy', 'eggs', 'paneer', 'cake', 'paneer butter masala', 'chilli chicken', 'fish kebab', 'manchow', 'manchow soup']"
pinch-of-spice-tajganj,"['gravy', 'mutton', 'kebab', 'paneer', 'biryani', 'chicken']"
capers-hotel-effotel-vijay-nagar,"['chutney', 'custard']"
blanc-glace-hitech-city,"['omelette', 'chicken', 'paneer', 'coffeee']"
takshila-hotel-chanakya-sri-krishnapuri,"['chilli chicken', 'chicken']"
barbeque-nation-kankanady,"['chicken', 'kebab', 'kebabs', 'fish', 'salad']"
ohris-100-degrees-hitech-city,"['cutlet', 'pizzas', 'paneer']"
moti-mahal-lalbagh,"['moong dal', 'mughlai']"
mast-biryani-zoo-tiniali,"['chicken', 'biryani']"
abs-absolute-barbecues-t-nagar,['pudding']
fionaa-lounge-and-restaurant-dharampeth,['stew']
knife-fork-prahlad-nagar,"['chicken', 'chicken soup']"
dheemi-aanch-bodakdev,"['tikka', 'mutton', 'chicken pie', 'paneer', 'biryani', 'chicken']"
skylights-gopalbari,"['pasta', 'paneer']"
nik-bakers-sector-35,"['chilli cheese toast', 'tikka', 'sandwich', 'chicken wings', 'salad', 'white sauce', 'coffeee', 'pasta', 'mutton', 'cookie', 'cake', 'pudding', 'chicken', 'pizzas', 'custard']"
